"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","petitprince-9",,,,"User:","root"
"Cmdline:","dstat -c --top-cpu -dn --top-mem --output report_smoke_load_4.csv",,,,"Date:","23 Nov 2020 23:34:53 CET"
"total cpu usage",,,,,"most expensive","dsk/total",,"net/total",,"most expensive"
"usr","sys","idl","wai","stl","cpu process","read","writ","recv","send","memory process"
1.602,0.379,97.370,0.649,0,node / 0%,104299.328,1128749.772,0,0,postgres / 153718784%
0.042,0,99.958,0,0,kworker/u97:0 / 0%,0,0,361,0,postgres / 153718784%
0.083,0.042,99.875,0,0,kworker/u97:0 / 0%,0,0,310,938,postgres / 153718784%
0.083,0.042,99.875,0,0,kworker/u97:0 / 0%,0,8192,70,330,postgres / 153718784%
0.167,0.042,99.708,0.083,0,node / 0%,0,40960,11070,10452,postgres / 153718784%
0.167,0.042,99.750,0.042,0,node / 0%,0,40960,11895,11706,postgres / 153718784%
0.125,0.042,99.750,0.083,0,node / 0%,0,90112,11533,11352,postgres / 153718784%
0.167,0.042,99.708,0.083,0,postgres / 0%,0,40960,11675,11492,postgres / 153718784%
0.292,0.042,99.667,0,0,node / 0%,0,40960,11905,11363,postgres / 153718784%
0.125,0.042,99.792,0.042,0,postgres / 0%,0,24576,4157,4673,postgres / 153718784%
0.042,0.125,99.875,-0.042,0,kworker/u97:0 / 0%,0,0,7759,6972,postgres / 153718784%
1.959,0.292,97.666,0.083,0,postgres / 0%,0,102400,19961,23277,postgres / 153718784%
0.208,0.083,99.708,0,0,node / 0%,0,8192,11283,10114,postgres / 153718784%
0.083,0.042,99.833,0.042,0,node / 0%,0,40960,16324,15348,postgres / 153718784%
0.167,0.125,99.708,0,0,node / 0%,0,40960,11685,11363,postgres / 153718784%
0.125,0.042,99.833,0,0,node / 0%,0,40960,11601,11421,postgres / 153718784%
0.167,0.042,99.750,0.042,0,postgres / 0%,0,81920,11601,11421,postgres / 153718784%
0.167,0.083,99.667,0.083,0,node / 0%,0,159744,11609,11426,postgres / 153718784%
0.125,0.083,99.750,0.042,0,node / 0%,0,32768,11599,11418,postgres / 153718784%
0.167,0.083,99.750,0,0,node / 0%,0,40960,11601,11421,postgres / 153718784%
0.167,0.042,99.708,0.083,0,postgres / 0%,0,32768,12101,11558,postgres / 153718784%
0.125,0.042,99.833,0,0,node / 0%,0,40960,12130,11586,postgres / 153718784%
0.083,0.042,99.792,0.083,0,postgres / 0%,0,53248,11545,11231,postgres / 153718784%
0.083,0.042,99.875,0,0,kworker/u97:0 / 0%,0,0,1369,2263,postgres / 153718784%
0.167,0.042,99.792,0,0,node / 0%,0,32768,11611,11429,postgres / 153718784%
0.125,0.042,99.750,0.083,0,node / 0%,0,49152,11601,11405,postgres / 153718784%
0.292,0.083,99.500,0.125,0,node / 0%,0,49152,18953,21916,postgres / 153718784%
0.125,0.042,99.791,0.042,0,postgres / 0%,0,53248,11825,11908,postgres / 153718784%
0.167,0.042,99.667,0.125,0,node / 0%,0,73728,18091,15271,postgres / 153718784%
0.083,0.083,99.792,0.042,0,postgres / 0%,0,40960,11609,11426,postgres / 153718784%
0.125,0.042,99.833,0,0,node / 0%,0,32768,11572,10282,postgres / 153718784%
0.125,0.042,99.792,0.042,0,node / 0%,0,16384,10964,11035,postgres / 153718784%
0.083,0.083,99.791,0.042,0,node / 0%,0,16384,11677,11495,postgres / 153718784%
0.167,0.083,99.584,0.167,0,postgres / 0%,0,94208,11609,11426,postgres / 153718784%
0.083,0,99.917,0,0,containerd / 0%,0,0,1701,2080,postgres / 153718784%
0.083,0.042,99.875,0,0,kworker/u97:0 / 0%,0,0,1407,2461,postgres / 153718784%
0.083,0.042,99.875,0,0,kworker/u97:0 / 0%,0,0,414,486,postgres / 153718784%
0.042,0.083,99.875,0,0,kworker/u97:0 / 0%,0,0,70,338,postgres / 153718784%
0.083,0.042,99.833,0.042,0,dockerd / 0%,0,36864,140,422,postgres / 153718784%
0.083,0.042,99.708,0.167,0,rcu_sched / 0%,0,4096,160,420,postgres / 153718784%
0.042,0.042,99.917,0,0,containerd-shim / 0%,0,0,267,448,postgres / 153718784%
